Date	Time	Severity	PID	TID	Function	Message
17-12-2025	18:47:25.881	 INFO	 86068	 80828	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	18:47:25.882	 INFO	 86068	 86696	LateInitialization	"Intialization..."
17-12-2025	18:47:25.883	 INFO	 86068	 86696	LateInitialization	"Exe = C:\Users\nsingh1\AppData\Local\Programs\Git\usr\bin\sh.exe"
17-12-2025	18:47:25.884	 INFO	 86068	 86696	LateInitialization	"IsExplorer = 0"
17-12-2025	18:47:25.885	 INFO	 86068	 86696	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
17-12-2025	18:47:25.886	 INFO	 86068	 86696	LateInitialization	"Intialization finished"
17-12-2025	19:00:36.642	 INFO	 67156	 84180	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	19:00:36.643	 INFO	 67156	 88668	LateInitialization	"Intialization..."
17-12-2025	19:00:36.644	 INFO	 67156	 88668	LateInitialization	"Exe = C:\Users\nsingh1\AppData\Local\Programs\Git\usr\bin\sh.exe"
17-12-2025	19:00:36.644	 INFO	 67156	 88668	LateInitialization	"IsExplorer = 0"
17-12-2025	19:00:36.645	 INFO	 67156	 88668	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
17-12-2025	19:00:36.645	 INFO	 67156	 88668	LateInitialization	"Intialization finished"
17-12-2025	19:00:37.859	 INFO	 88976	 88660	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	19:00:37.860	 INFO	 88976	 81604	LateInitialization	"Intialization..."
17-12-2025	19:00:37.861	 INFO	 88976	 81604	LateInitialization	"Exe = C:\Users\nsingh1\AppData\Local\Programs\Git\usr\bin\sh.exe"
17-12-2025	19:00:37.861	 INFO	 88976	 81604	LateInitialization	"IsExplorer = 0"
17-12-2025	19:00:37.862	 INFO	 88976	 81604	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
17-12-2025	19:00:37.862	 INFO	 88976	 81604	LateInitialization	"Intialization finished"
17-12-2025	19:23:12.223	 INFO	 87172	 90072	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	19:23:12.224	 INFO	 87172	 78036	LateInitialization	"Intialization..."
17-12-2025	19:23:12.225	 INFO	 87172	 78036	LateInitialization	"Exe = C:\Users\nsingh1\AppData\Local\Programs\Git\usr\bin\sh.exe"
17-12-2025	19:23:12.225	 INFO	 87172	 78036	LateInitialization	"IsExplorer = 0"
17-12-2025	19:23:12.226	 INFO	 87172	 78036	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
17-12-2025	19:23:12.226	 INFO	 87172	 78036	LateInitialization	"Intialization finished"
17-12-2025	19:23:13.423	 INFO	 65212	 71920	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
17-12-2025	19:23:13.431	 INFO	 65212	 88532	LateInitialization	"Intialization..."
17-12-2025	19:23:13.432	 INFO	 65212	 88532	LateInitialization	"Exe = C:\Users\nsingh1\AppData\Local\Programs\Git\usr\bin\sh.exe"
17-12-2025	19:23:13.433	 INFO	 65212	 88532	LateInitialization	"IsExplorer = 0"
17-12-2025	19:23:13.435	 INFO	 65212	 88532	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
17-12-2025	19:23:13.438	 INFO	 65212	 88532	LateInitialization	"Intialization finished"
